Messier Number,NGC Number,Object Type,Distance (kly),Apparent Magnitude
NGC 1952,Crab Nebula,Super­nova remnant,4.9–8.1,8.4
NGC 7089,—,Globular cluster,33,6.5
NGC 5272,—,Globular cluster,33.9,6.2
NGC 6121,Spider Globular Cluster,Globular cluster,7.2,5.6
NGC 5904,Rose Cluster,Globular cluster,24.5,5.6
NGC 6405,Butterfly Cluster,Open cluster,1.6,4.2
NGC 6475,Ptolemy's Cluster,Open cluster,0.65–1.31,3.3
NGC 6523,Lagoon Nebula,Nebula with cluster,4.1,4.6
NGC 6333,—,Globular cluster,25.8,7.7
NGC 6254,—,Globular cluster,14.3,6.6
NGC 6705,Wild Duck Cluster,Open cluster,6.2,5.8
NGC 6218,—,Globular cluster,15.7,6.7
NGC 6205,Great Hercules Cluster,Globular cluster,22.2,5.8
NGC 6402,—,Globular cluster,30.3,7.6
NGC 7078,Great Pegasus Cluster,Globular cluster,33,6.2
NGC 6611,Eagle Nebula,H II region nebula with cluster,7,6.4
NGC 6618,"Omega, Swan, Horseshoe, Lobster, or Checkmark Nebula",H II region nebula with cluster,5–6,6.0
NGC 6613,Black Swan Cluster,Open cluster,4.9,7.5
NGC 6273,—,Globular cluster,28.7,6.8
NGC 6514,Trifid Nebula,H II region nebula with cluster,5.2,6.3
NGC 6531,Webb's Cross Cluster,Open cluster,4.25,6.5
NGC 6656,Great Sagittarius Cluster,Globular cluster,9.6–11.6,5.1
NGC 6494,—,Open cluster,2.15,5.5
IC 4715,Small Sagittarius Star Cloud,Milky Way star cloud,~10,2.5
IC 4725,—,Open cluster,2.0,4.6
NGC 6694,—,Open cluster,5.0,8.0
NGC 6853,Dumbbell Nebula,Planetary nebula,1.148–1.52,7.4
NGC 6626,—,Globular cluster,17.9,6.8
NGC 6913,Cooling Tower Cluster,Open cluster,7.2,7.1
NGC 7099,Jellyfish Cluster,Globular cluster,27.8–31,7.2
NGC 224,Andromeda Galaxy,Spiral galaxy,"2,430–2,650",3.4
NGC 221,Andromeda Satellite #1,Dwarf elliptical galaxy,"2,410–2,570",8.1
NGC 598,Triangulum/Pinwheel Galaxy,Spiral galaxy,"2,380–3,070",5.7
NGC 1039,Spiral Cluster,Open cluster,1.5,5.5
NGC 2168,Shoe-Buckle Cluster,Open cluster,2.8,5.3
NGC 1960,Pinwheel Cluster,Open cluster,4.1,6.3
NGC 2099,Salt and Pepper Cluster,Open cluster,4.511,6.2
NGC 1912,Starfish Cluster,Open cluster,4.2,7.4
NGC 7092,Pyramid Cluster,Open cluster,0.8244,4.6
—,Winnecke 4,Optical Double,0.51,8.4
NGC 2287,Little Beehive Cluster,Open cluster,2.3,4.5
NGC 1976,Great Orion Nebula,H II region nebula,1.324–1.364,4.0
NGC 1982,De Mairan's Nebula,H II region nebula (part of the Orion Nebula),1.3,9.0
NGC 2632,Beehive Cluster or Praesepe,Open cluster,0.577,3.7
—,"Pleiades, Seven Sisters or Subaru",Open cluster,0.39–0.46,1.6
NGC 2437,—,Open cluster,5.4,6.0
NGC 2422,—,Open cluster,1.6,4.4
NGC 2548,—,Open cluster,1.5,5.5
NGC 4472,—,Elliptical galaxy,"53,600–58,200",8.4
NGC 2323,Heart-Shaped Cluster,Open cluster,3.2,5.9
"NGC 5194,NGC 5195",Whirlpool Galaxy,Spiral galaxy,"19,000–27,000",8.4
NGC 7654,Scorpion Cluster,Open cluster,5.0,7.3
NGC 5024,—,Globular cluster,58,7.6
NGC 6715,—,Globular cluster,87.4,7.6
NGC 6809,Specter Cluster,Globular cluster,17.6,6.3
NGC 6779,—,Globular cluster,32.9,8.3
NGC 6720,Ring Nebula,Planetary nebula,1.6–3.8,8.8
NGC 4579,—,Barred Spiral galaxy,"~63,000",9.7
NGC 4621,—,Elliptical galaxy,"55,000–65,000",9.6
NGC 4649,—,Elliptical galaxy,"51,000–59,000",8.8
NGC 4303,Swelling Spiral Galaxy,Spiral galaxy,"50,200–54,800",9.7
NGC 6266,Flickering Globular,Globular cluster,22.2,6.5
NGC 5055,Sunflower Galaxy,Spiral galaxy,"37,000",8.6
NGC 4826,Black Eye Galaxy,Spiral galaxy,"22,000–26,000",8.5
NGC 3623,Leo Triplet,Barred Spiral galaxy,"41,000–42,000",9.3
NGC 3627,Leo Triplet,Barred Spiral galaxy,"31,000–41,000",8.9
NGC 2682,King Cobra or Golden Eye Cluster,Open cluster,2.61–2.93,6.1
NGC 4590,—,Globular cluster,33.6,7.8
NGC 6637,—,Globular cluster,29.7,7.6
NGC 6681,—,Globular cluster,29.4,7.9
NGC 6838,Angelfish Cluster,Globular cluster,13.0,8.2
NGC 6981,—,Globular cluster,53.40–55.74,9.3
NGC 6994,—,Asterism,~2.5,9.0
NGC 628,Phantom Galaxy,Spiral galaxy,"24,000–36,000",9.4
NGC 6864,—,Globular cluster,67.5,8.5
"NGC 650,NGC 651",Little Dumbbell Nebula,Planetary nebula,2.5,10.1
NGC 1068,Cetus A or Squid Galaxy,Spiral galaxy,"47,000",8.9
NGC 2068,—,Diffuse nebula,1.6,8.3
NGC 1904,—,Globular cluster,41,7.7
NGC 6093,—,Globular cluster,32.6,7.3
NGC 3031,Bode's Galaxy,Spiral galaxy,"11,400–12,200",6.9
NGC 3034,Cigar Galaxy,Starburst galaxy,"10,700–12,300",8.4
NGC 5236,Southern Pinwheel Galaxy,Barred Spiral galaxy,"14,700",7.6
NGC 4374,—,Lenticular galaxy,"57,000–63,000",9.1
NGC 4382,—,Lenticular galaxy,"56,000–64,000",9.1
NGC 4406,—,Lenticular galaxy,"49,000–55,000",8.9
NGC 4486,Virgo A,Elliptical galaxy,"51,870–55,130",8.6
NGC 4501,—,Spiral galaxy,"39,000–56,000",9.6
NGC 4552,—,Elliptical galaxy,"47,000–53,000",9.8
NGC 4569,Carabin Galaxy,Spiral galaxy,"55,900–61,500",9.5
NGC 4548,—,Barred Spiral galaxy,"47,000–79,000",10.2
NGC 6341,—,Globular cluster,26.7,6.4
NGC 2447,Critter Cluster,Open cluster,3.6,6.0
NGC 4736,Crocodile Eye or Cat's Eye Galaxy,Spiral galaxy,"14,700–17,300",8.2
NGC 3351,—,Barred Spiral galaxy,"31,200–34,000",9.7
NGC 3368,—,Spiral galaxy,"28,000–34,000",9.2
NGC 3587,Owl Nebula,Planetary nebula,2.03,9.9
NGC 4192,—,Spiral galaxy,"44,400",10.1
NGC 4254,St. Catherine's Wheel,Spiral galaxy,"44,700–55,700",9.9
NGC 4321,Mirror Galaxy,Spiral galaxy,"55,000",9.3
NGC 5457,Pinwheel Galaxy,Spiral galaxy,"19,100–22,400",7.9
NGC 5866,Spindle Galaxy,Lenticular galaxy,"50,000",9.9
NGC 581,—,Open cluster,10,7.4
NGC 4594,Sombrero Galaxy,Spiral galaxy,"28,700–30,900",8.0
NGC 3379,—,Elliptical galaxy,"30,400–33,600",9.3
NGC 4258,—,Spiral galaxy,"22,200–25,200",8.4
NGC 6171,Crucifix Cluster,Globular cluster,20.9,7.9
NGC 3556,Surfboard Galaxy,Barred Spiral galaxy,"46,000",10.0
NGC 3992,Vacuum Cleaner Galaxy,Barred Spiral galaxy,"59,500–107,500",9.8
NGC 205,Andromeda Satellite #2,Dwarf elliptical galaxy,"2,600–2,780",8.5
